image_name,composition,treatment,scale,magnification
img_001.png,Cartridge brass (70%),Hot rolled annealed cold rolled annealed,120,
img_002.png,Cartridge brass (70%),Hot rolled annealed cold rolled annealed,120,
img_003.png,Cartridge brass (70%),Hot rolled annealed cold rolled annealed,120,
img_004.png,Cartridge brass (70%),Hot rolled annealed cold rolled annealed Reduction,,
img_005.png,Cartridge brass (70%),Hot rolled annealed cold rolled annealed Reduction,,
img_006.png,Cartridge brass (70%),Hot rolled annealed cold rolled annealed Reduction,,
img_007.png,Nickel (Ni) with 5 at.% Cerium (Ce),Dendritic solidification,,25
img_008.png,Nickel (Ni) with 5 at.% Cerium (Ce),Dendritic solidification,,75
img_009.png,Nickel (Ni) with 5 at.% Cerium (Ce),Dendritic solidification,,250
img_010.png,Al Mg alloy (5052 series),Casting ingot,,50
img_011.png,Al Zn Mg Cu alloy with primary CrAl7 crystal,Casting ingot,,100
img_012.png,Commercially pure aluminum (Al 1100),Rolled as-polished,,250
img_013.png,"14% chromium, 16% cobalt, 4.5%.5% molybdenum, 14% chromium, 4.3% aluminum, 2.4% titanium, and up to 0.07% carbon",Etched using HCl ethanol and H O,20,500
img_014.png,Quenched and tempered,Nickel plated etched with Vilella's reagent,50,
img_015.png,Quenched and tempered,LM fractograph direct,20,
img_016.png,Quenched and tempered,Scanning electron microscopy SEM fractograph direct,20,
img_017.png,Quenched and tempered,LM replica,20,
img_018.png,Quenched and tempered,SEM replica,20,
img_019.png,Quenched and tempered,Transmission electron microscopy replica,2,
img_020.png,Fe Al Cr,Light microscopy bright-field illumination,100,
img_021.png,Fe Al Cr,Light microscopy dark-field illumination,100,
img_022.png,Fe Al Cr,Scanning electron microscopy secondary-electron imaging,100,
img_023.png,Fe 18Cr 8Ni,Scanning electron microscopy fractograph,20,
img_024.png,Fe 0.8%C,Embrittled by liquid copper at,100,
img_025.png,Fe 0.8%C,Embrittled by liquid copper at,50,
img_026.png,Fe 12% Cr 0.15% C 1.25% Mn 1% Si 0.6% S,Tempered martensitic etched using Vilella s reagent,100,
img_027.png,Fe 12% Cr 0.15% C 1.25% Mn 1% Si 0.6% S,Tempered martensitic etched using Vilella s reagent,100,
img_028.png,Fe 12% Cr 0.15% C 1.25% Mn 1% Si 0.6% S,Tempered martensitic etched using Vilella s reagent,100,
img_029.png,Fe 12% Cr 0.15% C 1.25% Mn 1% Si 0.6% S,Tempered martensitic etched using Vilella s reagent,100,
img_030.png,Fe 0.2%C 0.5%Mn,Etched using picral,100,
img_031.png,Fe 0.2%C 0.5%Mn,Etched using picral,100,
img_032.png,Fe 0.2%C 0.5%Mn,Etched using picral,100,
img_033.png,Fe 0.2%C 0.5%Mn,Etched using picral,100,
img_034.png,Mo (99.9%),Rolled sheet annealed at for h,50,
img_035.png,Mo (99.9%),Rolled sheet annealed at for min,50,
img_036.png,Fe 0.013%C,Finish rolled at coiled at,100,
img_037.png,Fe 0.013%C,Finish rolled at coiled at,100,
img_038.png,Fe 0.06%C 1.5%Mn,Water quenched from,2,
img_039.png,Fe 0.2%C 0.5%Mn,Directional heat flow during welding etched with Nital,,
img_040.png,Fe 0.2%C 0.5%Mn,Deformation and subsequent annealing etched with Nital,100,
img_041.png,Fe 0.4%C 0.6%Mn,Heavily drawn steel wire etched with Nital,10,
img_042.png,Zn MgZn2 (eutectic),Dark-field illumination,10,
img_043.png,Fe 0.2%C 0.5%Mn,Hot rolled etched with Nital,50,
img_044.png,Fe 0.2%C 0.5%Mn,Scanning electron microscopy,10,3000
img_045.png,50Sn 50In,Slowly cooled optical microscopy,100,
img_046.png,Al 13Si,Slowly cooled optical microscopy,50,
img_047.png,Al 33Cu,Slowly cooled optical microscopy,50,
img_048.png,Mg 37Sn,Slowly cooled optical microscopy,60,
img_049.png,Sn 37Pb,Slowly cooled,40,
img_050.png,Sn 37Pb,Rapidly cooled,40,
img_051.png,Sn 30Pb,As-cast,20,
